Item,Supplier,Price,URL
Bearing Balls,AliExpress,€18.29,https://nl.aliexpress.com/item/1005010393276826.html?spm=a2g0o.productlist.main.12.53ccdRgadRgaFF&aem_p4p_detail=202606180805322903061683236960000167105&algo_pvid=890bfc42-9366-439a-9b40-5c8267cf4ad9&pdp_ext_f=%7B%22order%22%3A%22145%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010393276826%7C_p_origin_prod%3A&search_p4p_id=202606180805322903061683236960000167105_3
AliExpress Item 1005003697115577,AliExpress,€29.39,https://nl.aliexpress.com/item/1005003697115577.html?spm=a2g0o.cart.0.0.598561d7utbIpq&mp=1&gatewayAdapt=glo2nld
AliExpress Item 1005009377644243,AliExpress,€28.79,https://nl.aliexpress.com/item/1005009377644243.html?spm=a2g0o.cart.0.0.598561d7utbIpq&mp=1&gatewayAdapt=glo2nld
Bidirectional ESC 100A,AliExpress,€29.09,https://nl.aliexpress.com/item/1005008362023140.html?spm=a2g0o.cart.0.0.598561d7utbIpq&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&gatewayAdapt=glo2nld
Brushless Motor,AliExpress,€39.19,https://nl.aliexpress.com/item/1005009726646547.html?spm=a2g0o.cart.0.0.598561d7utbIpq&mp=1&gatewayAdapt=glo2nld
Shipping,,€7.82,
Sale Discount,,-€1.84,
Total,,€150.73,
